"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,23.093160,1.222128,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,19.686558,1.597123,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,18.369932,0.907065,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,16.476938,0.464880,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,10.648152,0.865013,"ops/s",1250000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,9.493304,0.190737,"ops/s",1500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,8.566861,0.196502,"ops/s",1750000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,268.605435,0.842447,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,116.231239,0.213973,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,64.191858,0.144094,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,40.518569,0.060616,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,27.883980,0.083588,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,20.328827,0.082305,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,15.438657,0.243988,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,12.067982,0.021186,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,5.906586,0.025614,"ops/s",1250000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,3.995625,0.028697,"ops/s",1500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,2.917363,0.008914,"ops/s",1750000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,5557.875142,39.194444,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,3076.315440,28.164460,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,2181.874841,19.028364,"ops/s",400000
